43,45,80,81/1
33,42,73,63/1
33,51,76,69/1
34,45,68,65/1
34,44,67,65/1
34,45,69,63/1
33,45,76,63/1
35,43,72,68/1
34,42,83,68/1
42,40,77,63/1
64,44,79,67/1
33,43,74,66/1
34,40,81,66/1
35,41,75,71/1
35,41,77,74/1
35,41,69,69/1
35,43,77,74/1
37,40,73,70/1
37,40,72,65/1
37,40,73,71/1
40,42,71,68/1
37,44,78,70/1
46,43,71,78/2
41,42,82,80/2
41,40,72,78/2
48,41,83,81/2
48,41,75,83/2
51,40,78,67/2
46,39,76,80/2
43,39,73,72/2
42,37,73,78/2
43,37,69,77/2
41,39,77,72/2
38,46,74,70/2
60,50,75,74/2
42,45,75,68/2
41,46,79,68/2
42,44,79,68/2
40,44,73,67/2
57,35,80,71/3
45,34,68,82/3
43,34,77,80/3
49,32,69,82/3
39,32,73,75/3
45,34,76,73/3
48,36,70,81/3
42,50,68,67/3
38,38,77,81/3
48,33,66,75/3
45,32,71,70/3
46,33,71,71/3
46,32,75,73/3
55,51,66,77/4
51,43,74,73/4
53,45,73,70/4
49,42,76,71/4
49,41,80,70/4
50,41,80,69/4
61,51,78,75/4
55,49,84,81/4
68,39,76,81/4
63,42,75,73/4
63,56,67,72/4
58,51,62,79/4
53,42,69,76/4
50,58,61,75/4
56,49,70,73/4
69,55,66,68/4
60,45,58,71/4
60,62,61,72/4
68,52,73,77/4
63,51,67,77/4
65,62,61,82/4
57,54,67,76/4
64,51,69,72/4
62,62,61,71/4
62,55,70,77/4
61,53,68,79/4
56,57,55,66/4
60,52,60,71/4
62,56,59,71/4
67,55,65,75/4
67,50,55,76/4
69,58,60,73/4
64,54,55,70/4
61,58,74,80/4
71,56,66,68/4
66,67,79,71/4
65,53,57,69/4
66,63,57,57/4
73,64,58,60/4
67,72,51,60/4
66,75,67,75/4
69,61,66,58/4
70,67,51,60/4
66,65,49,63/4
70,58,57,59/4
76,59,53,55/4
72,65,45,58/4
80,64,49,56/4
71,61,49,60/4
69,63,48,59/4
70,61,45,63/4
70,58,46,59/4
70,69,35,48/5
71,63,38,49/5
79,73,36,49/5
70,68,34,52/5
68,75,35,49/5
73,64,39,49/5
75,69,43,49/5
72,65,36,51/5
68,70,35,54/5
77,64,35,64/5
72,70,33,46/5
83,80,34,60/5
78,66,41,51/5
76,72,35,43/5
75,69,39,53/5
72,65,43,49/5
78,65,35,49/5
75,69,37,47/5
78,75,39,47/6
79,71,36,56/6
78,77,41,59/6
75,77,39,56/6
78,79,44,58/6
75,73,54,48/6
78,78,49,42/6
73,73,42,50/6
79,76,45,49/6
75,70,41,48/6
82,76,45,50/6
72,75,57,39/6
75,81,44,53/6
79,83,56,42/6
67,75,43,40/6
79,75,42,47/6
81,69,52,37/7
81,69,52,36/7
73,71,53,39/7
75,73,45,39/7
75,72,50,37/7
76,68,53,34/7
70,71,65,35/7
73,70,58,38/7
71,69,52,39/7
70,69,61,37/7
71,76,52,40/7
74,69,44,39/7
71,72,45,38/7
72,69,49,46/7
75,79,59,40/7
78,73,57,39/7
71,75,60,51/8
65,80,57,52/8
69,72,60,57/8
75,70,63,56/8
68,74,75,49/8
60,68,63,48/8
64,72,65,55/8
67,72,59,58/8
69,68,56,56/8
59,68,71,60/8
61,71,69,52/8
66,81,81,52/8
63,65,69,58/8
69,63,74,61/8
69,64,66,66/8
74,63,64,68/8
73,63,64,57/8
60,66,74,60/8
71,64,67,63/8
74,73,69,57/8
66,71,63,56/8
63,69,65,52/8
64,75,69,53/8
66,70,69,51/8
67,69,69,52/8
66,66,71,52/8
74,67,65,56/8
62,68,68,60/8
58,72,67,66/8
59,71,70,69/8
65,65,78,71/8
55,64,68,76/8
57,69,72,66/8
57,65,78,66/8
58,67,66,68/8
57,64,74,66/8
64,73,71,69/8
66,67,72,63/8
53,66,73,68/8
55,62,70,66/8
51,61,72,65/8
50,59,72,64/8
53,76,70,63/8
66,66,80,70/8
64,67,74,71/8
64,67,75,67/8
54,67,80,66/8
57,54,76,66/8
56,50,82,76/8
55,49,83,66/8
52,55,75,69/8
50,56,75,73/8
54,58,83,63/8
51,61,84,60/8
46,60,75,67/8
